# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.disposed,1780715515351000000,1780715529231000000,345
FilePageCache.pageLoads,1780715515351000000,1780715529231000000,388
StorageLockContext.competingThreads.avg,1780715515351000000,1780715529231000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1780715515351000000,1780715529231000000,0
FilePageCache.maxCacheSizeInBytes,1780715515351000000,1780715529231000000,403701760
DirectByteBufferAllocator.hits,1780715515351000000,1780715529231000000,3
FilePageCache.totalPageLoadsUs,1780715515351000000,1780715529231000000,120836
FilePageCache.capacityInBytes,1780715515351000000,1780715529231000000,629145600
StorageLockContext.competingThreads.90P,1780715515351000000,1780715529231000000,0
FilePageCache.totalPageDisposalsUs,1780715515351000000,1780715529231000000,1197
StorageLockContext.competingThreads.max,1780715515351000000,1780715529231000000,0
FilePageCache.pageFastCacheHits,1780715515351000000,1780715529231000000,7720
FilePageCache.maxRegisteredFiles,1780715515351000000,1780715529231000000,1078
DirectByteBufferAllocator.misses,1780715515351000000,1780715529231000000,385
FilePageCache.uncachedFileAccess,1780715515351000000,1780715529231000000,232
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1780715515351000000,1780715529231000000,41943040
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1780715515351000000,1780715529231000000,41943040
FilePageCache.disposedBuffers,1780715515351000000,1780715529231000000,388
FilePageCache.pageHits,1780715515351000000,1780715529231000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1780715515351000000,1780715529231000000,0
DirectByteBufferAllocator.reclaimed,1780715515351000000,1780715529231000000,43
jps.load.initial.state.ms,1780715515351000000,1780715529231000000,11
workspaceModel.do.save.caches.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1780715515351000000,1780715529231000000,1
jps.library.entities.serializer.load.entities.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1780715515351000000,1780715529231000000,3
jps.global.get.library.by.name.ms,1780715515351000000,1780715529231000000,0
jps.global.handle.before.change.events.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.entities.ms,1780715515351000000,1780715529231000000,0
jps.app.storage.content.writer.save.component.ms,1780715515351000000,1780715529231000000,44
jps.global.initialize.library.bridges.after.loading.ms,1780715515351000000,1780715529231000000,0
jps.save.global.entities.ms,1780715515351000000,1780715529231000000,55
workspaceModel.global.updates.ms,1780715515351000000,1780715529231000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1780715515351000000,1780715529231000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1780715515351000000,1780715529231000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1780715515351000000,1780715529231000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1780715515351000000,1780715529231000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1780715515351000000,1780715529231000000,0
workspaceModel.save.cache.to.file.ms,1780715515351000000,1780715529231000000,12
workspaceModel.global.updates.count,1780715515351000000,1780715529231000000,1
workspaceModel.mutableEntityStorage.instances.count,1780715515351000000,1780715529231000000,6
workspaceModel.mutableEntityStorage.put.entity.ms,1780715515351000000,1780715529231000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1780715515351000000,1780715529231000000,0
